
Porownanie wszystkich wierszy z 0-ym
NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.0,0.0,0.0,0.0
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,0.43478,0.25758,0.34043,0.25926
NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.14493,0.06061,-0.17021,-0.37037
NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.72464,-0.01515,-0.06383,-0.22222
NaN,NaN,NaN,NaN,0.0,NaN,1.0,NaN,NaN,0.0,-0.04545,-0.09929,0.11111
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,1.0,-0.56061,0.0,-1.0
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,0.28986,0.22727,0.53191,0.0
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,-0.21739,0.27273,0.24823,0.37037
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.28986,0.21212,0.34752,-0.03704
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,-0.14493,0.22727,0.22695,-0.22222
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,0.21739,0.21212,0.39007,-0.14815
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,-0.28986,0.25758,0.74468,0.07407
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.50725,0.18182,0.34043,0.0
NaN,NaN,NaN,NaN,0.5,NaN,0.0,NaN,NaN,0.72464,0.09091,0.22695,0.14815
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,0.65217,0.24242,0.77305,0.0
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.43478,0.24242,0.37589,-0.03704
NaN,NaN,NaN,NaN,0.5,NaN,1.0,NaN,NaN,0.43478,0.15152,0.05674,0.03704
NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.98551,0.0303,-0.41844,-0.03704
NaN,NaN,NaN,NaN,0.0,NaN,1.0,NaN,NaN,-0.43478,-0.06061,-0.46099,-0.48148
NaN,NaN,NaN,NaN,0.5,NaN,1.0,NaN,NaN,-0.07246,0.16667,-0.21277,-0.33333
NaN,NaN,NaN,NaN,0.5,NaN,0.0,NaN,NaN,0.21739,0.13636,0.21986,-0.66667
NaN,NaN,NaN,NaN,0.5,NaN,0.0,NaN,NaN,0.14493,0.13636,0.31915,-0.40741
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.65217,0.27273,0.56028,0.18519
NaN,NaN,NaN,NaN,0.0,NaN,1.0,NaN,NaN,-0.07246,0.01515,-0.41135,0.2963
NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,0.86957,0.04545,-0.10638,0.0
NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.98551,0.21212,0.39716,0.51852
NaN,NaN,NaN,NaN,0.5,NaN,0.0,NaN,NaN,0.65217,0.18182,0.04965,0.07407
NaN,NaN,NaN,NaN,0.5,NaN,0.0,NaN,NaN,-0.36232,0.09091,0.26241,-0.22222
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,1.0,0.10606,0.0,-0.07407
NaN,NaN,NaN,NaN,1.0,NaN,0.0,NaN,NaN,0.98551,0.24242,0.29078,0.03704
NaN,NaN,NaN,NaN,0.0,NaN,1.0,NaN,NaN,-0.14493,0.0303,-0.2695,-0.25926
