0.21578,0.90352,25447,0.4283,0.6511;0.82024,0.40166,29144,myYDmjgOqmTpyW,0.88955
0.91895,0.75066,91842,0.89338,0.61133;0.35815,0.56494,73898,SylxkTRtoQ,0.97756
0.38447,0.48105,60096,0.562,0.76653;0.83739,0.61824,79591,IYNNglKmiDuzsoKKAr,0.95207
0.59977,0.74762,64287,0.30145,0.66903;0.71393,0.34231,18186,eAbeFshbvOYNxVHO,0.42104
0.23328,0.67475,45086,0.71882,0.4641;0.55471,0.80444,36926,raJAzgyuBhBnAXKVes,0.29299
0.9087,0.34491,24998,0.74296,0.59024;0.53149,0.40697,21499,NIOHhTEudHTa,0.18203
0.46913,0.97999,19698,0.92742,0.42563;0.3302,0.8382,79709,wYDVbXKkzUo,0.47656
0.6583,0.21005,53175,0.11447,0.48708;0.79242,0.61029,85025,BouxJsFvDHMGIf,0.65495
0.78526,0.6568,58924,0.26589,0.68832;0.40673,0.55152,55273,ATXUMJobPsLXbAIfyK,0.59739
0.98293,0.91468,13243,0.97929,0.89852;0.59221,0.28423,48806,FxHONMiTrTTORxg,0.71033
0.24344,0.15139,97088,0.39404,0.75064;0.91158,0.15732,49396,TelhFWPBaHYAITFwe,0.87417
0.91308,0.66612,61282,0.47114,0.18932;0.2377,0.54535,12736,wdCGPcjbPAHSZFD,0.86596
0.91391,0.96966,19234,0.66909,0.21507;0.81253,0.45016,46029,sbEeiGLHdEzQUp,0.84355
0.58723,0.64178,48391,0.14281,0.26248;0.38286,0.54185,43617,PNZAfPALHisUO,0.89248
0.14743,0.20202,44894,0.91735,0.3995;0.83485,0.92487,70551,CVgWgHApqUQrSp,0.41342
0.34989,0.24953,42621,0.68707,0.48313;0.25295,0.73923,93540,mIvlyraTyvVz,0.48372
0.24345,0.32154,37599,0.20762,0.45209;0.96079,0.16734,73686,uclLiUaJDTQG,0.50936
0.9674,0.58689,13095,0.1041,0.46135;0.84144,0.66115,25311,TRlXzIjBHMa,0.42515
0.22623,0.96764,77969,0.5817,0.5221;0.11768,0.94971,90173,HsdHQjONUqIHhdhm,0.80666
0.58848,0.57304,72738,0.64982,0.92687;0.76807,0.8046,30235,FmhFhYuBuKXu,0.76523
0.3461,0.21503,51069,0.59169,0.7516;0.4624,0.78381,16044,UAUHSdvyCooHGkCij,0.87
0.2698,0.82223,86859,0.29903,0.14163;0.64495,0.863,40754,mvXucurFROMOKUtjj,0.2398
0.88927,0.2214,56102,0.25614,0.62987;0.64147,0.56911,84293,MaBbHCsPxhFrf,0.29155
0.73471,0.21275,47235,0.30245,0.85384;0.79091,0.47918,14184,klrNGCIMxGeMmHSacvc,0.9651
0.54577,0.92918,46256,0.70196,0.60719;0.46319,0.99062,92853,hPZCRwnGbztfcZ,0.10755
0.47755,0.16525,36186,0.40435,0.56035;0.19376,0.2399,82593,EMELCgzKpKNgtjiJvZc,0.4646
0.89586,0.8348,99199,0.66986,0.8312;0.10691,0.72174,27412,eddGnfUFHzijjPgVv,0.36464
0.66189,0.50589,30437,0.9192,0.6995;0.89664,0.38999,23500,DrMUBOKGFBAOdLK,0.17084
0.21017,0.38946,88360,0.49599,0.7803;0.32831,0.57668,66011,ugxlpmDGgvxUD,0.63305
0.18867,0.11286,67038,0.56458,0.94042;0.12034,0.1755,50213,crtpFYbqYmPpYqECin,0.78097
0.80369,0.76336,89420,0.73044,0.31792;0.82191,0.63636,72508,eMSyBrNtZljImHwaJAS,0.72949
0.84429,0.1225,24484,0.56473,0.58748;0.80461,0.2144,97232,ybZCZllpLdzAEgZtv,0.5801
0.61665,0.69833,17095,0.7942,0.11774;0.70096,0.35719,77584,AiPRjHqcZkpXU,0.35602
0.39217,0.10476,90731,0.18849,0.32452;0.39336,0.29391,51278,QsKUWLInNN,0.27618
0.12546,0.75968,47474,0.49929,0.14832;0.12393,0.4183,82898,cgQPRolNhiHKjqL,0.10565
0.44725,0.20775,37773,0.99644,0.57799;0.50854,0.97171,91126,cluYbrkYQjtJdGeFXAY,0.79875
0.6466,0.50057,43447,0.40205,0.24159;0.25289,0.98026,28964,lTBQkAcHTUn,0.81057
0.63745,0.84167,53566,0.87677,0.62935;0.67924,0.49391,15528,qyNAQCzmwwIBQQRDZ,0.74686
0.65124,0.54227,19727,0.5594,0.21831;0.46526,0.93089,45312,IhHqgvSYnBxeHBnWN,0.9307
0.11867,0.19882,48924,0.14541,0.56711;0.50089,0.97811,93932,IeNQqxYDzQTjpwo,0.72944
0.80453,0.75976,89267,0.87144,0.38877;0.71446,0.60372,26451,vHncpDDZBKCPcl,0.32691
0.52827,0.8914,46587,0.16457,0.8393;0.57242,0.3168,38207,dbIpFvChsLHDiOuGFn,0.6696
0.69513,0.52661,75099,0.94159,0.2042;0.32679,0.76577,42775,VoPNymCiOGjDj,0.56732
0.60588,0.3094,45531,0.26553,0.65416;0.15883,0.67001,83727,IybKFgeeYAGnB,0.75679
0.20088,0.26814,77521,0.43513,0.51727;0.19168,0.31029,68912,jDahdskZiR,0.21943
